"ProductName","ProductPrice","AverageRating","ReviewBody","ReviewRating","ProductCategory","ReviewAuthor","SentimentScore","SentimentCategory"
"Nature's Bounty Fish Oil, Supports Heart Health, 1200 Mg, 360 Mg Omega-3, Rapid Release Softgels, 200 Ct",14.17,4.7,"Great product for the cost.  No fishy aftertaste.
  
Read more",5,"hpc","MountainWalt",0.166666666666667,"Positive"
"ARM & HAMMER Super Washing Soda Household Cleaner and Laundry Booster, Versatile Natural Home Cleaner, Powder Laundry Additive and Cleaner, 55 oz Box",4.99,4.8,"I have received no compensation of any type, manner, or kind, for, before, or after purchase, or review. I have no connection with the seller, or producer of the product other than as a purchaser, either before purchase, or after purchase.I really love this stuff. I use it in my water to soften it so cleaners a laundry detergent work better.Put it in a spray bottle with some hot water and it makes a great effective grease buster, add some Dawn and WOW! You've got surfactants and softer water and a  super duper grease busting recipe. It doesn't take a lot either.  1 small squirt of Dawn, and a teaspoon of washing soda to 32 oz of warm to hot but not boiling water. I would test a small hidden area if you're not sure about color fastness. I would also test aluminum in an inconspicuous spot, or anything for that matter.Try it on grease spots in the driveway.I know it absolutely does wonders for laundry and stripping the gray out of white and all other colors to. It removes the build up from clothes washed in hard water. It also helps remove stains.One warning wear gloves this is the exact opposite of acids. Itcan lower the PH of water to 10 - 11 depending on how much you use,  which can do a number on bareBe careful with it,  follow the directions on the package, and you will. Have a cost effective product good for many  different uses.I'm sure there are other ways to use it that I haven't discovered yet.So, 5 stars from me for value, ease of use, effectiveness, many applications and uses.
  
Read more",5,"hpc","WolfMama",0.185714285714286,"Positive"
"Stevia In The Raw, Plant Based Zero Calorie, No Erythritol, Sugar Substitute, Sugar-Free Sweetener for Coffee, Hot & Cold Drinks, Suitable For Diabetics, Vegan, Gluten-Free, 200 Count Packets (1 Pack)",11.26,4.6,"I switched from Splenda to Stevia on the advice of my dietician. I like it. It's a little sweeter than the Splenda so I use less and there's no funny after taste like with aspartame.
  
Read more",5,"office-products","Amazon Customer",0.117647058823529,"Positive"
"Mrs. Meyer's Clean Day Dryer Sheets, Lavender, 80 ct",7.03,4.3,"I was looking for non toxic dryer sheets. I bought Mrs Meyers laundry detergent and was happy with it, so I figured I would try the dryer sheets. They feel like paper, work perfect, no static and a very very light smell. I do not smell a scent when I wear the clothes and that’s what I prefer since I do not like strong smells.
  
Read more",5,"hpc","Amazon Customer",0.0606060606060606,"Positive"
"COSRX Snail Mucin 96% Power Repairing Essence 3.38 fl.oz 100ml, Hydrating Serum for Face with Snail Secretion Filtrate for Dull Skin & Fine Lines, Korean Skincare",16.99,4.6,"First things first I absolutely appreciate the fact that this product came with the seal on the outside of the box which made me feel secure that I was getting a brand new product! The pumps come already in the bottle of these products which is why the seal being on the box is a big indicator for me ( stating this to say that this is the authentic product it just comes with the pump already in the bottle for those who are iffy. To be sure, you should have to pump the pump a few times before product comes out, if product comes out on first pump with any product, it's been used. I know this from working in beauty stores). Upon applying the product to my skin OMG!!! it's so moisturizing!! instantly firmed and smoothed my skin and gave it this beautiful glow! I like the little retinol that came with it as well. I will give an update of photos of my skin in a few weeks to show the progress of the products. The second pic is of the power essence after being used a few days which should let you know these bottles come filled to the top ensuring you get your money's worth!! I will definitely be ordering again as I'm already loving the feel of this product and highly recommend!!
  
Read more",5,"beauty","YahyahTheGoddess",0.367924528301887,"Positive"
"Amazon Basics - 6 Piece Fade Resistant Oversize Bath Towel, Hand and Washcloth Set, 100% Cotton, Navy Blue",19.99,4.5,"The Amazon Basics 6 Piece Fade Resistant Oversize Bath Towel, Hand, and Washcloth Set is a high-quality and luxurious addition to your bathroom essentials. Made from 100% cotton, this set is not only soft and plush but also highly absorbent, making it perfect for everyday use.The set includes two oversized bath towels, two hand towels, and two washcloths, providing you with a complete and coordinated collection for your bathing needs. The towels are designed to be fade-resistant, ensuring that their vibrant navy blue color stays looking fresh and new wash after wash.The oversized bath towels are generously sized, giving you plenty of coverage and wrapping you in comfort after a shower or bath. The hand towels are perfect for drying your hands or face, while the washcloths are ideal for gentle exfoliation or quick clean-ups.The 100% cotton construction of these towels ensures that they are soft against your skin and gentle enough for everyday use. Additionally, cotton is known for its durability and absorbency, making these towels a practical and long-lasting investment for your bathroom.Whether you are looking to refresh your bathroom linens or add a touch of luxury to your daily routine, the Amazon Basics 6 Piece Fade Resistant Oversize Bath Towel, Hand, and Washcloth Set offers both style and functionality. With its durable construction, fade-resistant color, and plush texture, this set is sure to enhance your bathing experience and keep you feeling pampered.
  
Read more",5,"home-garden","Tiara",0.154929577464789,"Positive"
"Garnier SkinActive Micellar Water for All Skin Types, Facial Cleanser & Makeup Remover, 13.5 Fl Oz (400mL), 1 Count (Packaging May Vary)",8.97,4.7,"I consistently order this. It's the best for removing eye makeup and makeup in general.. Gets everything off w/zero irritation. I will continue to use this micellar water because it's reasonably priced and works
  
Read more",5,"beauty","Gwenpenn",0.333333333333333,"Positive"
"Amazon Basics Outdoor Textilene Adjustable Zero Gravity Folding Reclining Lounge Chair with Pillow, 26"", Black",69.29,4.6,"Sit back, relax, and let gravity do its thing with the Amazon Basics Outdoor Textilene Adjustable Zero Gravity Folding Reclining Lounge Chair, a luxurious black lounger designed to elevate your backyard relaxation experience to new heights. Complete with a pillow for added comfort, this chair is a must-have for anyone seeking some well-deserved downtime. Let's recline into the details of this lounge-tastic luxury.Pros:Zero gravity goodness: This lounge chair features a zero-gravity design, distributing your body weight evenly for a weightless sensation, reducing stress on your body, and providing ultimate relaxation.Comfort connoisseur: With its breathable Textilene fabric, adjustable headrest pillow, and ergonomic design, this chair ensures a comfortable and enjoyable lounging experience.Customizable comfort: The reclining mechanism allows you to easily adjust the chair to your preferred angle, catering to your relaxation needs.Sturdy and stable: The powder-coated steel frame provides durability and strength, supporting up to 300 lbs, ensuring you can lounge with confidence.Fold and go: The folding design makes it easy to store and transport, perfect for taking to the beach, camping trips, or simply tucking it away when not in use.Cons:Sun-fade susceptibility: While the black Textilene fabric is both comfortable and breathable, it may be prone to fading if exposed to direct sunlight for extended periods. To maintain the chair's appearance, consider storing it in a shaded area when not in use.In conclusion, the Amazon Basics Outdoor Textilene Adjustable Zero Gravity Folding Reclining Lounge Chair with Pillow is a lounge-tastic luxury for your backyard relaxation needs. With its zero-gravity goodness, customizable comfort, sturdy design, and fold-and-go convenience, this black blissful lounger is an essential addition to any outdoor relaxation space. Elevate your downtime experience with this fantastic zero-gravity chair!
  
Read more",5,"furniture","Mike S.",0.179775280898876,"Positive"
"Amazon Basics Double-T Hand Towel and Accessories T-Shape Stand, Nickel/White",28.5,4.6,"Good quality and lets you hang 4 towels with no problem. Looks great in my bathroom!
  
Read more",5,"home-garden","Diana",0,"Neutral"
"Amazon Basic Care 24 Hour Allergy Relief, Cetirizine Hydrochloride Tablets, 10 mg, 300 Count",35.99,4.8,"I’ve used Allertec and Zyrtec for years, but they can get so expensive. This is a fantastic budget-friendly alternative that works just as well so far! I’ve been taking them daily for two months now and haven’t noticed a difference between their effectiveness and that of Zyrtec or Allertec. Unless you leave it on your tongue for a few seconds before swallowing (like one morning when I forgot where I put my water and was met with a bitter taste), it doesn’t have a flavor. Also relatively small and easy to swallow for anyone who wonders about that. Very satisfied with this purchase!
  
Read more",5,"hpc","Savy",0.150943396226415,"Positive"
